Sexo;Municipios;Periodo;Total
Total;28044 Colmenarejo;2018;9.124
Total;28044 Colmenarejo;2017;9.015
Total;28044 Colmenarejo;2016;8.945
Total;28048 Corpa;2025;832
Total;28048 Corpa;2024;792
Total;28048 Corpa;2023;798
Total;28048 Corpa;2022;764
Total;28048 Corpa;2021;742
Total;28048 Corpa;2020;723
Total;28048 Corpa;2019;713
Total;28048 Corpa;2018;697
Total;28048 Corpa;2017;684
Total;28048 Corpa;2016;672
Total;28049 Coslada;2025;80.512
Total;28049 Coslada;2024;80.760
Total;28049 Coslada;2023;80.171
Total;28049 Coslada;2022;80.596
Total;28049 Coslada;2021;81.273
Total;28049 Coslada;2020;81.391
Total;28049 Coslada;2019;81.661
Total;28049 Coslada;2018;81.860
Total;28049 Coslada;2017;83.011
Total;28049 Coslada;2016;84.533
Total;28050 Cubas de la Sagra;2025;7.238
Total;28050 Cubas de la Sagra;2024;6.988
Total;28050 Cubas de la Sagra;2023;6.817
Total;28050 Cubas de la Sagra;2022;6.698
Total;28050 Cubas de la Sagra;2021;6.642
Total;28050 Cubas de la Sagra;2020;6.539
Total;28050 Cubas de la Sagra;2019;6.413
Total;28050 Cubas de la Sagra;2018;6.310
Total;28050 Cubas de la Sagra;2017;6.112
Total;28050 Cubas de la Sagra;2016;5.971
Total;28053 Daganzo de Arriba;2025;10.764
Total;28053 Daganzo de Arriba;2024;10.703
Total;28053 Daganzo de Arriba;2023;10.611
Total;28053 Daganzo de Arriba;2022;10.650
Total;28053 Daganzo de Arriba;2021;10.520
Total;28053 Daganzo de Arriba;2020;10.337
Total;28053 Daganzo de Arriba;2019;10.205
Total;28053 Daganzo de Arriba;2018;10.061
Total;28053 Daganzo de Arriba;2017;10.082
Total;28053 Daganzo de Arriba;2016;9.981
Total;28054 Escorial, El;2025;17.171
Total;28054 Escorial, El;2024;17.176
Total;28054 Escorial, El;2023;16.873
Total;28054 Escorial, El;2022;16.618
Total;28054 Escorial, El;2021;16.594
Total;28054 Escorial, El;2020;16.365
Total;28054 Escorial, El;2019;16.162
Total;28054 Escorial, El;2018;15.842
Total;28054 Escorial, El;2017;15.562
Total;28054 Escorial, El;2016;15.364
Total;28055 Estremera;2025;1.473
Total;28055 Estremera;2024;1.467
Total;28055 Estremera;2023;1.453
Total;28055 Estremera;2022;1.410
Total;28055 Estremera;2021;1.381
Total;28055 Estremera;2020;1.334
Total;28055 Estremera;2019;1.260
Total;28055 Estremera;2018;1.236
Total;28055 Estremera;2017;1.261
Total;28055 Estremera;2016;1.319
Total;28056 Fresnedillas de la Oliva;2025;1.883
Total;28056 Fresnedillas de la Oliva;2024;1.837
Total;28056 Fresnedillas de la Oliva;2023;1.791
Total;28056 Fresnedillas de la Oliva;2022;1.784
Total;28056 Fresnedillas de la Oliva;2021;1.742
Total;28056 Fresnedillas de la Oliva;2020;1.651
Total;28056 Fresnedillas de la Oliva;2019;1.572
